SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,TARGET
100002,Cash loans,M,N,Y,0,202500.0,406597.5,1
100003,Cash loans,F,N,N,0,270000.0,1293502.5,0
100004,Revolving loans,M,Y,Y,0,67500.0,135000.0,0
100006,Cash loans,F,N,Y,0,135000.0,312682.5,0
100007,Cash loans,M,N,Y,0,121500.0,513000.0,0
100008,Cash loans,M,N,Y,0,99000.0,490495.5,0
100009,Cash loans,F,Y,Y,1,171000.0,1560726.0,0
100010,Cash loans,M,Y,Y,0,360000.0,1530000.0,0
100011,Cash loans,F,N,Y,0,112500.0,1019610.0,0
100012,Revolving loans,M,N,Y,0,135000.0,405000.0,0
100014,Cash loans,F,N,Y,1,112500.0,652500.0,0
100015,Cash loans,F,N,Y,0,38419.155,148365.0,0
100016,Cash loans,F,N,Y,0,67500.0,80865.0,0
100017,Cash loans,M,Y,N,1,225000.0,918468.0,0
100018,Cash loans,F,N,Y,0,189000.0,773680.5,0
100019,Cash loans,M,Y,Y,0,157500.0,299772.0,0
100020,Cash loans,M,N,N,0,108000.0,509602.5,0
100021,Revolving loans,F,N,Y,1,81000.0,270000.0,0
100022,Revolving loans,F,N,Y,0,112500.0,157500.0,0
100023,Cash loans,F,N,Y,1,90000.0,544491.0,0
100024,Revolving loans,M,Y,Y,0,135000.0,427500.0,0
100025,Cash loans,F,Y,Y,1,202500.0,1132573.5,0
100026,Cash loans,F,N,N,1,450000.0,497520.0,0
100027,Cash loans,F,N,Y,0,83250.0,239850.0,0
100029,Cash loans,M,Y,N,2,135000.0,247500.0,0
100030,Cash loans,F,N,Y,0,90000.0,225000.0,0
100031,Cash loans,F,N,Y,0,112500.0,979992.0,1
100032,Cash loans,M,N,Y,1,112500.0,327024.0,0
100033,Cash loans,M,Y,Y,0,270000.0,790830.0,0
100034,Revolving loans,M,N,Y,0,90000.0,180000.0,0
100035,Cash loans,F,N,Y,0,292500.0,665892.0,0
100036,Cash loans,F,N,Y,0,112500.0,512064.0,0
100037,Cash loans,F,N,N,0,90000.0,199008.0,0
100039,Cash loans,M,Y,N,1,360000.0,733315.5,0
100040,Cash loans,F,N,Y,0,135000.0,1125000.0,0
100041,Cash loans,F,N,N,0,112500.0,450000.0,0
100043,Cash loans,F,N,Y,2,198000.0,641173.5,0
100044,Cash loans,M,N,Y,0,121500.0,454500.0,0
100045,Cash loans,F,N,Y,0,99000.0,247275.0,0
100046,Revolving loans,M,Y,Y,0,180000.0,540000.0,0
100047,Cash loans,M,N,Y,0,202500.0,1193580.0,1
100048,Cash loans,F,N,Y,0,202500.0,604152.0,0
100049,Cash loans,F,N,N,0,135000.0,288873.0,1
100050,Cash loans,F,N,Y,0,108000.0,746280.0,0
100051,Cash loans,M,N,Y,0,202500.0,661702.5,0
100052,Revolving loans,F,N,Y,1,90000.0,180000.0,0
100053,Cash loans,F,N,Y,0,202500.0,305221.5,0
100054,Cash loans,F,N,Y,0,99000.0,260640.0,0
100055,Cash loans,F,N,N,0,130500.0,1350000.0,0
100056,Cash loans,M,Y,Y,0,360000.0,1506816.0,0
100058,Revolving loans,F,N,Y,0,54000.0,135000.0,0
100059,Cash loans,M,Y,Y,1,540000.0,675000.0,0
100060,Cash loans,M,Y,N,0,76500.0,454500.0,0
100061,Cash loans,F,N,Y,2,225000.0,314055.0,0
100062,Cash loans,M,Y,N,0,81000.0,675000.0,0
100063,Cash loans,F,N,Y,0,180000.0,837427.5,0
100064,Cash loans,F,N,N,0,67500.0,298728.0,0
100068,Revolving loans,M,N,Y,0,81000.0,247500.0,0
100069,Cash loans,M,Y,Y,1,360000.0,640458.0,0
100070,Cash loans,M,Y,Y,0,540000.0,1227901.5,0
100071,Cash loans,F,N,Y,0,180000.0,1663987.5,0
100072,Cash loans,M,N,N,0,180000.0,1080000.0,0
100073,Cash loans,M,Y,Y,0,324000.0,1130760.0,0
100075,Cash loans,F,N,N,0,112500.0,95940.0,0
100076,Cash loans,M,Y,N,0,180000.0,315000.0,0
100077,Cash loans,M,N,Y,0,180000.0,1256400.0,0
100078,Cash loans,F,Y,Y,0,180000.0,1035000.0,0
100079,Revolving loans,M,N,Y,0,225000.0,270000.0,0
100080,Revolving loans,F,N,N,1,157500.0,450000.0,0
100081,Cash loans,M,Y,N,0,180000.0,450000.0,0
100082,Cash loans,M,N,N,2,180000.0,450000.0,0
100083,Cash loans,M,Y,Y,0,103500.0,573628.5,0
100084,Cash loans,M,N,Y,2,225000.0,495351.0,0
100085,Cash loans,M,N,Y,1,157500.0,755190.0,0
100086,Cash loans,F,N,Y,1,135000.0,675000.0,0
100087,Cash loans,F,N,Y,1,202500.0,1288350.0,0
100088,Revolving loans,F,N,N,0,112500.0,135000.0,0
100089,Cash loans,M,N,Y,0,135000.0,337761.0,0
100093,Cash loans,F,N,Y,1,94500.0,585000.0,0
100094,Cash loans,F,N,Y,0,108000.0,113760.0,0
100095,Revolving loans,F,N,Y,2,67500.0,135000.0,0
100096,Cash loans,F,N,Y,0,81000.0,252000.0,1
100097,Cash loans,M,Y,Y,0,157500.0,760225.5,0
100098,Revolving loans,M,Y,N,0,225000.0,270000.0,0
100099,Cash loans,F,N,Y,0,360000.0,733315.5,0
100100,Cash loans,M,Y,Y,2,202500.0,796396.5,0
100101,Cash loans,F,Y,Y,0,202500.0,343377.0,0
100102,Cash loans,F,N,N,1,126000.0,327024.0,0
100103,Cash loans,F,N,Y,0,72000.0,450000.0,0
100104,Cash loans,F,N,Y,0,90000.0,547344.0,0
100105,Cash loans,F,N,Y,0,193500.0,225000.0,0
100108,Cash loans,F,N,Y,3,171000.0,545040.0,0
100110,Cash loans,M,Y,Y,3,135000.0,373140.0,0
100111,Cash loans,F,Y,N,1,112500.0,862560.0,0
100112,Cash loans,M,Y,Y,0,315000.0,953460.0,1
100113,Cash loans,M,Y,N,0,76500.0,135000.0,0
100114,Cash loans,F,N,Y,0,135000.0,284400.0,0
100115,Cash loans,F,N,N,0,90000.0,315000.0,0
100116,Cash loans,F,N,Y,0,243000.0,900000.0,0
100118,Cash loans,F,N,Y,0,90000.0,675000.0,0
100119,Revolving loans,F,N,Y,0,54000.0,180000.0,0
100120,Cash loans,F,N,N,0,135000.0,781920.0,0
100121,Cash loans,M,N,Y,0,126000.0,787131.0,0
100122,Cash loans,F,N,N,1,76500.0,808650.0,0
100123,Cash loans,F,N,N,0,103500.0,675000.0,0
100124,Cash loans,M,N,Y,0,225000.0,448272.0,0
100125,Cash loans,F,N,N,0,126000.0,263686.5,0
100126,Revolving loans,M,N,Y,2,135000.0,180000.0,0
100127,Cash loans,M,N,Y,0,112500.0,52128.0,0
100129,Revolving loans,F,Y,Y,1,85500.0,135000.0,0
100130,Cash loans,F,N,Y,1,157500.0,723996.0,1
100131,Cash loans,F,N,Y,0,270000.0,891072.0,0
100132,Cash loans,F,N,Y,0,202500.0,1136439.0,0
100133,Cash loans,F,N,N,0,67500.0,384048.0,0
100134,Revolving loans,F,N,N,0,202500.0,180000.0,0
100135,Cash loans,M,N,Y,0,135000.0,391194.0,0
100136,Cash loans,M,Y,N,1,157500.0,1571931.0,0
100137,Cash loans,F,Y,Y,0,225000.0,891072.0,0
100138,Cash loans,M,Y,N,0,135000.0,824823.0,0
100139,Cash loans,F,N,N,1,157500.0,302341.5,0
100140,Revolving loans,F,N,N,0,157500.0,675000.0,0
100142,Cash loans,M,Y,Y,1,360000.0,579195.0,0
100143,Revolving loans,M,N,Y,0,162000.0,270000.0,0
100144,Cash loans,F,N,N,0,112500.0,535500.0,0
100145,Cash loans,F,Y,Y,1,202500.0,260725.5,0
100146,Cash loans,M,Y,Y,0,117000.0,327024.0,0
100147,Cash loans,F,N,Y,1,135000.0,518562.0,0
100148,Cash loans,F,N,Y,0,247500.0,755190.0,0
100149,Cash loans,M,Y,N,0,171000.0,539590.5,0
100151,Cash loans,M,N,N,0,135000.0,182016.0,0
100152,Cash loans,F,N,Y,0,157500.0,254412.0,0
100153,Cash loans,M,Y,Y,0,202500.0,1107981.0,0
100154,Revolving loans,M,N,N,0,144000.0,180000.0,0
100155,Cash loans,M,N,N,0,157500.0,675000.0,0
100156,Cash loans,F,Y,N,2,157500.0,945000.0,0
100157,Cash loans,M,N,Y,0,180000.0,1755000.0,0
100158,Cash loans,M,N,N,0,180000.0,590337.0,0
100159,Cash loans,F,N,Y,0,225000.0,1515415.5,0
100160,Cash loans,M,N,Y,0,292500.0,675000.0,1
100161,Cash loans,F,N,Y,0,90000.0,370629.0,0
100162,Cash loans,F,N,Y,0,112500.0,547344.0,0
100163,Cash loans,F,N,Y,0,130500.0,550489.5,0
100164,Cash loans,F,Y,N,1,450000.0,407434.5,0
100165,Cash loans,F,Y,Y,0,175500.0,1293502.5,0
100166,Cash loans,F,N,Y,3,58500.0,152820.0,0
100167,Cash loans,F,N,Y,0,180000.0,427500.0,0
100173,Cash loans,F,N,N,0,117000.0,781920.0,0
100174,Revolving loans,F,N,Y,2,180000.0,225000.0,0
100175,Cash loans,F,N,Y,1,202500.0,1251072.0,0
100176,Cash loans,F,N,Y,0,135000.0,1078200.0,0
100177,Cash loans,M,N,N,1,112500.0,312682.5,0
100178,Cash loans,F,N,Y,0,119250.0,679500.0,0
100179,Cash loans,F,Y,N,0,202500.0,675000.0,0
100180,Cash loans,F,N,Y,1,315000.0,1288350.0,0
100181,Cash loans,F,N,Y,0,157500.0,245619.0,1
100182,Revolving loans,F,N,Y,1,112500.0,135000.0,0
100183,Cash loans,F,N,Y,0,103500.0,239850.0,0
100185,Cash loans,M,N,Y,0,58500.0,187704.0,0
100186,Cash loans,F,N,Y,0,117000.0,269550.0,0
100188,Cash loans,F,N,N,1,225000.0,1325475.0,0
100189,Cash loans,F,N,Y,0,135000.0,263844.0,0
100190,Cash loans,M,Y,N,0,162000.0,263686.5,0
100191,Cash loans,F,N,Y,0,112500.0,544491.0,0
100192,Cash loans,F,N,N,0,111915.0,225000.0,1
100193,Cash loans,F,Y,N,0,225000.0,296280.0,0
100194,Revolving loans,F,N,Y,2,157500.0,315000.0,0
100195,Cash loans,M,Y,Y,0,90000.0,336150.0,0
100196,Cash loans,F,Y,Y,0,164250.0,755190.0,0
100197,Cash loans,F,N,N,2,157500.0,497520.0,0
100198,Cash loans,M,Y,Y,1,135000.0,531000.0,0
100199,Cash loans,F,N,Y,0,112500.0,269550.0,0
100200,Cash loans,F,N,N,0,216000.0,450000.0,0
100201,Cash loans,F,N,Y,1,180000.0,675000.0,0
100202,Cash loans,F,N,N,0,67500.0,127350.0,0
100203,Cash loans,F,N,N,0,54000.0,119925.0,0
100204,Cash loans,F,N,Y,1,81000.0,532494.0,0
100205,Cash loans,F,N,Y,0,63000.0,808650.0,0
100206,Cash loans,M,Y,N,1,157500.0,318528.0,0
100207,Cash loans,F,N,Y,0,157500.0,700830.0,0
100208,Cash loans,M,N,N,1,180000.0,888840.0,0
100209,Revolving loans,M,N,Y,3,180000.0,540000.0,1
100210,Cash loans,F,N,Y,1,202500.0,771493.5,0
100211,Cash loans,M,N,N,3,225000.0,746280.0,0
100213,Cash loans,F,N,N,2,49500.0,278460.0,0
100214,Cash loans,F,N,Y,1,202500.0,436032.0,1
100215,Cash loans,F,Y,N,0,90000.0,227520.0,0
100216,Cash loans,F,N,N,0,90000.0,67500.0,0
100217,Cash loans,F,N,N,0,180000.0,254700.0,0
100218,Cash loans,M,Y,Y,0,337500.0,876078.0,0
100219,Cash loans,M,N,Y,1,315000.0,2250000.0,0
100220,Cash loans,F,N,Y,0,225000.0,1040985.0,0
100221,Cash loans,F,N,Y,0,225000.0,684054.0,0
100224,Cash loans,F,Y,Y,2,225000.0,1256400.0,0
100225,Cash loans,M,Y,N,2,157500.0,720000.0,0
100226,Revolving loans,F,N,N,2,112500.0,270000.0,0
100227,Cash loans,M,N,N,0,292500.0,1024740.0,0
100228,Cash loans,F,N,N,1,121500.0,1102500.0,0
100229,Cash loans,F,N,Y,0,157500.0,544491.0,0
100230,Revolving loans,F,N,N,0,135000.0,405000.0,0
100231,Cash loans,M,Y,Y,1,108000.0,912240.0,0
100233,Cash loans,F,N,Y,0,216000.0,679671.0,0
100234,Revolving loans,F,N,N,0,67500.0,180000.0,0
100235,Cash loans,F,N,Y,0,135000.0,364896.0,0
100236,Cash loans,M,Y,Y,0,112500.0,312768.0,0
100237,Cash loans,F,N,N,2,144000.0,1288350.0,0
100238,Cash loans,M,Y,Y,2,135000.0,781920.0,0
100239,Cash loans,F,N,Y,1,225000.0,1483231.5,0
100240,Cash loans,M,N,Y,2,135000.0,590337.0,0
100242,Cash loans,M,Y,Y,0,90000.0,101880.0,0
100243,Cash loans,M,N,Y,0,112500.0,161730.0,0
100244,Cash loans,M,N,N,1,247500.0,447768.0,0
100246,Cash loans,F,N,Y,0,135000.0,495216.0,1
100247,Cash loans,F,N,Y,0,225000.0,402939.0,0
100248,Cash loans,F,N,Y,0,90000.0,808650.0,0
100249,Cash loans,F,N,Y,2,67500.0,76410.0,0
100250,Cash loans,F,Y,N,1,72000.0,90000.0,0
100251,Cash loans,M,Y,Y,0,202500.0,270000.0,0
100252,Cash loans,F,N,Y,0,225000.0,490495.5,0
100254,Cash loans,M,Y,Y,0,292500.0,1078200.0,0
100255,Cash loans,M,Y,Y,0,315000.0,824544.0,0
100257,Cash loans,F,N,Y,0,90000.0,312768.0,0
100258,Cash loans,F,N,Y,0,135000.0,81000.0,0
100259,Cash loans,M,Y,Y,0,180000.0,427500.0,0
100260,Cash loans,M,N,Y,0,180000.0,180000.0,0
100261,Cash loans,F,N,Y,0,90000.0,522000.0,0
100262,Cash loans,M,Y,Y,0,315000.0,1575000.0,0
100263,Cash loans,F,N,Y,0,108000.0,585000.0,0
100264,Cash loans,F,N,Y,0,121500.0,1215000.0,0
100265,Cash loans,F,N,Y,0,112500.0,723996.0,0
100266,Cash loans,F,N,N,0,157500.0,1256400.0,0
100267,Cash loans,M,N,Y,0,225000.0,675000.0,0
100268,Cash loans,F,N,N,0,85500.0,225000.0,0
100269,Cash loans,M,N,Y,0,180000.0,427450.5,0
100270,Revolving loans,F,N,Y,0,90000.0,337500.0,0
100272,Revolving loans,F,N,Y,1,135000.0,180000.0,0
100273,Cash loans,F,N,Y,0,157500.0,1710000.0,1
100274,Cash loans,M,Y,Y,0,308250.0,1305000.0,0
100275,Cash loans,F,Y,Y,0,108000.0,646920.0,0
100276,Cash loans,F,Y,Y,0,135000.0,497520.0,0
100277,Cash loans,M,Y,N,0,67500.0,364896.0,0
100279,Cash loans,M,N,Y,0,180000.0,254700.0,0
100281,Cash loans,F,N,Y,1,112500.0,675000.0,0
100282,Revolving loans,F,Y,Y,0,73341.0,135000.0,1
100283,Cash loans,F,N,Y,0,135000.0,747000.0,0
100284,Cash loans,M,Y,Y,2,180000.0,675000.0,0
100285,Revolving loans,F,N,Y,0,112500.0,180000.0,0
100286,Cash loans,M,Y,Y,1,121500.0,263686.5,1
100287,Cash loans,F,N,Y,0,202500.0,225000.0,0
100288,Cash loans,F,N,N,0,157500.0,450000.0,0
100289,Cash loans,M,Y,N,0,202500.0,526491.0,0
100290,Cash loans,M,N,N,0,135000.0,224136.0,0
100291,Cash loans,F,N,N,1,153000.0,292500.0,0
100292,Cash loans,F,N,Y,0,202500.0,675000.0,0
100293,Cash loans,F,N,Y,0,202500.0,1271281.5,0
100294,Cash loans,F,N,Y,0,157500.0,835380.0,0
100295,Cash loans,M,Y,N,1,225000.0,1019205.0,1
100296,Cash loans,M,N,Y,1,225000.0,223884.0,0
100297,Cash loans,M,Y,N,0,135000.0,334152.0,0
100298,Cash loans,F,N,Y,0,270000.0,473760.0,0
100299,Revolving loans,F,N,Y,0,112500.0,540000.0,0
100300,Cash loans,M,N,N,0,63000.0,426645.0,1
100301,Cash loans,M,N,Y,1,112500.0,571486.5,1
100302,Cash loans,F,N,Y,0,180000.0,187704.0,0
100303,Cash loans,F,N,Y,0,292500.0,254700.0,0
100304,Revolving loans,F,N,Y,0,225000.0,675000.0,0
100305,Cash loans,M,Y,Y,0,135000.0,237024.0,0
100307,Cash loans,M,N,Y,0,225000.0,451804.5,0
100308,Cash loans,M,N,N,0,157500.0,208512.0,0
100309,Cash loans,F,N,Y,0,157500.0,263686.5,0
100310,Cash loans,M,N,N,0,180000.0,1071000.0,0
100313,Cash loans,F,N,Y,0,87750.0,1206954.0,0
100314,Cash loans,M,N,N,2,292500.0,239850.0,0
100315,Cash loans,F,Y,Y,1,121500.0,288873.0,0
100316,Cash loans,F,N,Y,0,67500.0,622413.0,0
100317,Cash loans,F,N,Y,0,180000.0,630000.0,0
100318,Cash loans,F,N,N,0,90000.0,381528.0,0
100319,Cash loans,F,N,Y,1,135000.0,781920.0,0
100320,Cash loans,M,Y,Y,0,225000.0,481855.5,0
100321,Cash loans,M,Y,N,1,270000.0,521280.0,0
100322,Cash loans,M,Y,Y,2,225000.0,254700.0,0
100323,Cash loans,M,Y,Y,0,450000.0,1575000.0,0
100324,Cash loans,F,Y,Y,1,112500.0,152820.0,0
100325,Cash loans,F,N,Y,0,135000.0,640080.0,0
100326,Cash loans,M,Y,Y,0,36000.0,284400.0,1
100327,Cash loans,M,Y,Y,0,180000.0,407727.0,0
100328,Cash loans,F,N,N,1,171000.0,1270746.0,0
100329,Cash loans,F,Y,Y,0,135000.0,247275.0,0
100332,Cash loans,F,N,Y,0,157500.0,545040.0,0
100333,Cash loans,F,N,Y,0,382500.0,450000.0,0
100334,Cash loans,M,N,Y,0,90000.0,101880.0,0
100335,Cash loans,F,N,Y,0,63000.0,675000.0,0
100336,Cash loans,F,Y,Y,0,157500.0,497520.0,1
100337,Cash loans,F,N,Y,0,270000.0,545040.0,0
100338,Cash loans,F,N,N,0,270000.0,630000.0,0
100339,Revolving loans,M,N,Y,0,166500.0,495000.0,0
100340,Cash loans,F,N,N,2,202500.0,787131.0,0
100341,Cash loans,M,Y,Y,0,76500.0,545040.0,0
100342,Cash loans,M,N,N,0,90000.0,101880.0,0
100343,Cash loans,M,Y,Y,0,315000.0,90000.0,0
100344,Cash loans,M,N,N,0,112500.0,225000.0,0
100345,Cash loans,F,N,N,0,157500.0,450000.0,0
100346,Cash loans,F,N,Y,0,180000.0,582804.0,0
100347,Cash loans,F,N,N,0,81000.0,640080.0,0
100348,Cash loans,F,N,N,0,135000.0,1223010.0,0
100349,Cash loans,F,N,N,0,108000.0,364896.0,0
100350,Cash loans,F,N,Y,0,112500.0,481495.5,0
100351,Cash loans,F,N,N,0,69750.0,675000.0,0
100353,Cash loans,F,N,Y,0,81000.0,536917.5,0
100354,Revolving loans,F,N,Y,1,112500.0,135000.0,0
100355,Cash loans,M,N,Y,0,315000.0,946503.0,0
100356,Cash loans,F,N,Y,0,180000.0,188685.0,0
100357,Revolving loans,F,N,Y,0,225000.0,180000.0,0
100359,Cash loans,M,Y,Y,1,112500.0,226908.0,0
100360,Revolving loans,F,N,N,0,67500.0,202500.0,0
100361,Cash loans,M,N,Y,0,270000.0,1800000.0,0
100362,Cash loans,F,N,Y,1,157500.0,807984.0,0
100363,Cash loans,F,Y,Y,1,360000.0,493497.0,0
100364,Cash loans,F,N,N,0,315000.0,1024290.0,0
100365,Cash loans,F,N,Y,0,247500.0,517788.0,0
100366,Revolving loans,M,Y,Y,0,765000.0,1350000.0,0
100368,Cash loans,F,N,Y,0,166500.0,675000.0,0
100369,Cash loans,F,N,Y,0,157500.0,528633.0,0
100370,Cash loans,F,N,Y,0,45000.0,448056.0,0
100371,Cash loans,F,Y,Y,1,450000.0,808650.0,0
100372,Cash loans,F,N,N,0,90000.0,531000.0,0
100373,Cash loans,F,N,N,0,225000.0,906228.0,0
100374,Cash loans,F,Y,Y,2,112500.0,1308964.5,0
100375,Cash loans,M,N,Y,0,180000.0,942300.0,0
100376,Cash loans,M,Y,Y,0,360000.0,254700.0,0
100377,Cash loans,M,N,N,2,157500.0,239850.0,0
